Агрегат: Свободные данные
Дата и время: 06.06.2018 14:05:12
Режим измерений: Основной
Тип замера: Форма сигнала
Тип диапазона: Временной
Выборка: 128K
Единицы: м/с?
Представление величин: ПИК
ФВЧ (Гц): 500.000000
ФНЧ (Гц): 10240.000000
Период (мс): 5000.000000

мсек	Канал А, м/с?
29.983749	0.144014
30.021897	0.132070
30.060044	0.113203
30.098191	0.106348
30.136338	0.102955
30.174486	0.078726
30.212633	0.063660
30.250780	0.061624
30.288927	0.053751
30.327075	0.050222
30.365222	0.033730
30.403369	0.011470
30.441516	0.009434
30.479664	0.008144
30.517811	-0.000747
30.555958	-0.016492
30.594105	-0.025518
30.632253	-0.006990
30.670400	0.001086
30.708547	-0.031015
30.746695	-0.053683
30.784842	-0.045675
30.822989	-0.043707
30.861136	-0.063252
30.899284	-0.089110
30.937431	-0.108248
30.975578	-0.114017
31.013725	-0.124876
31.051873	-0.139467
31.090020	-0.125826
31.128167	-0.113338
31.166314	-0.111167
31.204462	-0.107502
31.242609	-0.108045
31.280756	-0.095150
31.318903	-0.083273
31.357051	-0.080559
31.395198	-0.060809
31.433345	-0.030405
31.471493	-0.017781
31.509640	-0.014524
31.547787	0.009773
31.585934	0.023618
31.624082	0.020632
31.662229	0.020632
31.700376	0.015134
31.738523	0.024161
31.776671	0.025790
31.814818	0.006922
31.852965	0.013166
31.891112	0.022871
31.929260	0.029658
31.967407	0.048864
32.005554	0.065153
32.043702	0.077640
32.081849	0.080287
32.119996	0.073975
32.158143	0.085241
32.196291	0.102683
32.234438	0.109538
32.272585	0.119786
32.310732	0.103294
32.348880	0.068546
32.387027	0.069293
32.425174	0.031898
32.463321	-0.050222
32.501469	-0.125622
32.539616	-0.206724
32.577763	-0.235907
32.615910	-0.243033
32.654058	-0.268144
32.692205	-0.275881
32.730352	-0.270926
32.768500	-0.248598
32.806647	-0.227627
32.844794	-0.210117
32.882941	-0.173740
32.921089	-0.133427
32.959236	-0.108859
32.997383	-0.095014
33.035530	-0.078387
33.073678	-0.053412
33.111825	-0.030948
33.149972	-0.018324
33.188119	-0.012352
33.226267	-0.003936
33.264414	0.007601
33.302561	0.016085
33.340708	0.016899
33.378856	0.016356
33.417003	0.020360
33.455150	0.029794
33.493298	0.036648
33.531445	0.033866
33.569592	0.041195
33.607739	0.051851
33.645887	0.049882
33.684034	0.049543
33.722181	0.050765
33.760328	0.056466
33.798476	0.058570
33.836623	0.055719
33.874770	0.055108
33.912917	0.066239
33.951065	0.072754
33.989212	0.070311
34.027359	0.070854
34.065506	0.072482
34.103654	0.075536
34.141801	0.079676
34.179948	0.068410
34.218096	0.059112
34.256243	0.059452
34.294390	0.049882
34.332537	0.050629
34.370685	0.051986
34.408832	0.052122
34.446979	0.061895
34.485126	0.065424
34.523274	0.074179
34.561421	0.090603
34.599568	0.099358
34.637715	0.095286
34.675863	0.091010
34.714010	0.091825
34.752157	0.083613
34.790304	0.069293
34.828452	0.059723
34.866599	0.041942
34.904746	0.030269
34.942894	0.017103
34.981041	-0.001629
35.019188	-0.009976
35.057335	-0.021242
35.095483	-0.038820
35.133630	-0.050765
35.171777	-0.053547
35.209924	-0.055176
35.248072	-0.053004
35.286219	-0.048525
35.324366	-0.037734
35.362513	-0.023957
35.400661	-0.013981
35.438808	-0.010044
35.476955	-0.009976
35.515103	-0.006922
35.553250	-0.005701
35.591397	-0.004819
35.629544	0.002918
35.667692	0.008823
35.705839	0.007330
35.743986	0.012013
35.782133	0.018664
35.820281	0.017917
35.858428	0.008348
35.896575	0.004615
35.934722	-0.002375
35.972870	-0.019614
36.011017	-0.017917
36.049164	-0.009501
36.087311	-0.004547
36.125459	-0.001357
36.163606	0.004411
36.201753	0.010316
36.239901	0.011402
36.278048	0.012895
36.316195	0.020292
36.354342	0.026740
36.392490	0.028844
36.430637	0.023075
36.468784	0.021582
36.506931	0.036648
36.545079	0.038345
36.583226	0.035834
36.621373	0.034205
36.659520	0.029590
36.697668	0.042078
36.735815	0.049543
36.773962	0.047846
36.812109	0.060945
36.850257	0.069700
36.888404	0.073297
36.926551	0.079473
36.964699	0.087142
37.002846	0.100783
37.040993	0.093928
37.079140	0.074790
37.117288	0.068410
37.155435	0.068410
37.193582	0.053751
37.231729	0.024500
37.269877	-0.005158
37.308024	-0.025925
37.346171	-0.059588
37.384318	-0.095150
37.422466	-0.106484
37.460613	-0.128812
37.498760	-0.147136
37.536907	-0.158742
37.575055	-0.159420
37.613202	-0.147815
37.651349	-0.147001
37.689497	-0.123858
37.727644	-0.087820
37.765791	-0.076079
37.803938	-0.058027
37.842086	-0.029997
37.880233	-0.019614
37.918380	-0.019682
37.956527	-0.010180
37.994675	0.003936
38.032822	-0.006922
38.070969	-0.015270
38.109116	-0.016220
38.147264	-0.018731
38.185411	-0.015338
38.223558	-0.008958
38.261705	0.008483
38.299853	0.029387
38.338000	0.057755
38.376147	0.083477
38.414295	0.083409
38.452442	0.066510
38.490589	0.076554
38.528736	0.083952
38.566884	0.041195
38.605031	0.021718
38.643178	0.035359
38.681325	-0.018053
38.719473	-0.079541
38.757620	-0.079133
38.795767	-0.078319
38.833914	-0.069428
38.872062	-0.092775
38.910209	-0.129219
38.948356	-0.139535
38.986503	-0.154670
39.024651	-0.175301
39.062798	-0.211610
39.100945	-0.209031
39.139093	-0.167768
39.177240	-0.171636
39.215387	-0.184667
39.253534	-0.174691
39.291682	-0.147408
39.329829	-0.118632
39.367976	-0.129762
39.406123	-0.129152
39.444271	-0.096643
39.482418	-0.068275
39.520565	-0.057212
39.558712	-0.048254
39.596860	-0.020089
39.635007	0.016831
39.673154	0.049272
39.711302	0.069293
39.749449	0.095014
39.787596	0.113814
39.825743	0.117410
39.863891	0.123519
39.902038	0.127048
39.940185	0.124672
39.978332	0.125147
40.016480	0.125622
40.054627	0.103158
40.092774	0.076554
40.130921	0.077233
40.169069	0.054226
40.207216	0.005701
40.245363	-0.012420
40.283510	-0.031626
40.321658	-0.055923
40.359805	-0.076419
40.397952	-0.088499
40.436100	-0.087549
40.474247	-0.092028
40.512394	-0.090671
40.550541	-0.086599
40.588689	-0.079812
40.626836	-0.068614
40.664983	-0.056601
40.703130	-0.041942
40.741278	-0.035427
40.779425	-0.030405
40.817572	-0.016831
40.855719	-0.005972
40.893867	0.007940
40.932014	0.016152
40.970161	0.020157
41.008308	0.023346
41.046456	0.025790
41.084603	0.032441
41.122750	0.023821
41.160898	0.017985
41.199045	0.022803
41.237192	0.021175
41.275339	0.015134
41.313487	0.001900
41.351634	-0.009026
41.389781	-0.006583
41.427928	-0.006583
41.466076	-0.015270
41.504223	-0.018867
41.542370	-0.011877
41.580517	-0.003258
41.618665	-0.013641
41.656812	-0.017917
41.694959	-0.008076
41.733106	0.000611
41.771254	0.004344
41.809401	0.003258
41.847548	0.002850
41.885696	0.009841
41.923843	0.016288
41.961990	0.012555
42.000137	0.006447
42.038285	0.009298
42.076432	0.017917
42.114579	0.014727
42.152726	0.002715
42.190874	-0.002240
42.229021	-0.002443
42.267168	-0.006583
42.305315	-0.012216
42.343463	-0.010927
42.381610	-0.003393
42.419757	-0.001086
42.457904	-0.000407
42.496052	0.003801
42.534199	0.004411
42.572346	0.012759
42.610494	0.021175
42.648641	0.020632
42.686788	0.023821
42.724935	0.031830
42.763083	0.042553
42.801230	0.057619
42.839377	0.062166
42.877524	0.058570
42.915672	0.065560
42.953819	0.075468
42.991966	0.072754
43.030113	0.063456
43.068261	0.064406
43.106408	0.066849
43.144555	0.061420
43.182703	0.053887
43.220850	0.050493
43.258997	0.055448
43.297144	0.058162
43.335292	0.054226
43.373439	0.047779
43.411586	0.044521
43.449733	0.051715
43.487881	0.064881
43.526028	0.065492
43.564175	0.067189
43.602322	0.075740
43.640470	0.074926
43.678617	0.063524
43.716764	0.053751
43.754911	0.047779
43.793059	0.037802
43.831206	0.032508
43.869353	0.030201
43.907501	0.024432
43.945648	0.029929
43.983795	0.040449
44.021942	0.034069
44.060090	0.029183
44.098237	0.031558
44.136384	0.020224
44.174531	0.015134
44.212679	0.011945
44.250826	-0.001493
44.288973	0.002104
44.327120	0.002104
44.365268	-0.016288
44.403415	-0.031966
44.441562	-0.050697
44.479709	-0.066171
44.517857	-0.081577
44.556004	-0.095489
44.594151	-0.097797
44.632299	-0.102140
44.670446	-0.111099
44.708593	-0.116596
44.746740	-0.115917
44.784888	-0.117953
44.823035	-0.124876
44.861182	-0.128201
44.899329	-0.131391
44.937477	-0.133427
44.975624	-0.133563
45.013771	-0.130848
45.051918	-0.118564
45.090066	-0.111778
45.128213	-0.109402
45.166360	-0.099901
45.204507	-0.092300
45.242655	-0.083409
45.280802	-0.071872
45.318949	-0.057212
45.357097	-0.044250
45.395244	-0.039227
45.433391	-0.031083
45.471538	-0.022125
45.509686	-0.021107
45.547833	-0.019614
45.585980	-0.014116
45.624127	-0.005090
45.662275	-0.003665
45.700422	-0.003190
45.738569	0.005972
45.776716	0.012148
45.814864	0.016967
45.853011	0.020157
45.891158	0.023821
45.929305	0.036445
45.967453	0.047100
46.005600	0.055380
46.043747	0.062166
46.081895	0.072279
46.120042	0.087956
46.158189	0.093114
46.196336	0.097186
46.234484	0.105127
46.272631	0.110692
46.310778	0.123722
46.348925	0.123722
46.387073	0.117410
46.425220	0.121618
46.463367	0.123247
46.501514	0.114289
46.539662	0.104651
46.577809	0.098611
46.615956	0.086395
46.654104	0.075061
46.692251	0.070243
46.730398	0.064067
46.768545	0.062031
46.806693	0.066578
46.844840	0.074043
46.882987	0.078794
46.921134	0.078930
46.959282	0.079269
46.997429	0.090671
47.035576	0.108927
47.073723	0.093250
47.111871	0.070650
47.150018	0.084155
47.188165	0.087413
47.226312	0.070854
47.264460	0.051308
47.302607	0.030948
47.340754	0.017442
47.378902	-0.006651
47.417049	-0.028369
47.455196	-0.035020
47.493343	-0.043367
47.531491	-0.035834
47.569638	-0.030880
47.607785	-0.040042
47.645932	-0.038345
47.684080	-0.035495
47.722227	-0.041806
47.760374	-0.054362
47.798521	-0.056737
47.836669	-0.050493
47.874816	-0.053208
47.912963	-0.058841
47.951110	-0.050425
47.989258	-0.043299
48.027405	-0.051986
